url_code,lure_maker_name_en,scraping_source_id,category_name_ja,lure_name_ja,lure_name_en,attached_hook_size_1,attached_hook_size_2,attached_hook_size_3,attached_hook_size_4,attached_hook_size_5,attached_ring_size,lure_buoyancy,lure_action,lure_length,lure_weight,lure_range_min,lure_range_max,lure_information,is_available
,ima,https://www.ima-ams.co.jp/product/products/detail/62,フローティングミノー,アイボーン 98F シャロー,iBORN 98F shallow,#4,#4,,,,#3,Floating,ワイドウォブンロール,98,13,0,20,2025年9月10日新型モデル発売シャロー攻略特化のために生み出されたiBORNシリーズ、そのオリジナルモデルがMRDシステム搭載で2025年にリニューアル。優れたシャロー性能とキャスタビリティはそのままに、対応速度域はスローからファーストと幅を広げ、立ち上がりも抜群に。スーパーシャローでのパイロットルアーとして、さらに活躍をみせてくれること間違いなしの1本です。関連動画をCHECK!●SUMMER RIVER DAY GAME WITH SHORT ROD IN OMONOGAWA●CHECK THE NEW ONE SHALLOW GAME IN FUTTSU,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/61,フローティングミノー,アイボーン 118F シャロー,iBORN 118F shallow,#3,#3,,,,#3,Floating,ウォブンロール,118,19,5,30,遠投性に優れ、高いシャロー性能をコンセプトに開発されたのがiBORNシリーズ。iBORN 118F shallowは丁寧にシャローを攻めることができるレンジ性能と120mmクラスでは最大クラスの飛距離を叩き出せるルアーに。サイズ感からもいろいろなエリアで活躍すること間違いなしです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/101,トップウォーター,アイマポッキー,ima popkey,#4,#4,#4,,,#3,Floating,ドッグウォーク&ウェイク,120,16,0,0,シーバス専用のペンシルとしてこれまで数々の実績を上げてきたロングセラーモデル。ただ巻きウェイクアクション、ロッドを操作してのドッグウォークやダイブなど、多彩な使い方ができるのがこのルアーの魅力です。オリジナルサイズの120mmは、オープンエリアでシーバスを誘い出すことや、ヒラスズキや落ち鮎ゲームでのドリフトでも高い実績があります。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/376,トップウォーター,アイマポッキー 65 ラトル,imapopkey 65 RATTLE,#10,#10,,,,#3,Floating,ドッグウォーク&ウェイク,65,8,0,0,imapopkeyシリーズ最小サイズの65mm。水受け部分にシリーズ初のレードル形状を採用したことにより、ドッグウォークやバブル&スプラッシュ、ただ巻きでのウェイクアクションが、さらに誰でも簡単にできるようになりました。また内部にラトルボールを搭載したことでアクション、バブル&スプラッシュ、サウンドといった3種のアピールで魚を引き寄せます。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/103,トップウォーター,アイマポッキー 80,imapopkey 80,#6,#6,,,,#3,Floating,ドッグウォーク&ウェイク,80,9,0,0,内湾や汽水域の小型ベイトに対応したのがimapopkey 80。120mmサイズで見せた多彩なアクションをそのまま受け継ぎ、アングラーの意思をスイムで表現しました。トップチヌゲームでの実績も非常に高く、スプラッシュをあげたハイアピールアクションでターゲットを魅了します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/102,トップウォーター,アイマポッキー 100,imapopkey 100,#4,#4,,,,#3,Floating,ドッグウォーク&ウェイク,100,12,0,0,オリジナルの120mmと弟分の80mmの多彩なアクションや操作性を継承した中間サイズのimapopkey 100。オールシーズン、フィールドを選ばず扱いやすいサイズ感で、どこに行くときもルアーケースの中に忍ばせておきたい万能型トップペンシルです。ローテーションの中にランダムで組み込むのもおもしろい使い方です。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/410,トップウォーター,アイマポッキー 210,imapopkey 210,#2/0,#2/0,#2/0,,,#6,Floating,ドッグウォーク&ウェイク,210,110,0,0,200mmを超えるトッププラグで魚を誘い続けるのはひと苦労。imapopkey 210なら巻くだけでアピールできるので1日中使っても疲れません。ただ巻きでウェイク、デジ巻きでドッグウォーク。かわいいボディはラトル入り。魚のレンジが深いシビアな状況でも、その存在感で水面まで誘いだします。ビッグベイトゲームをもっと楽しむ、そんな1本です。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/506,シンキングシャッド,アタル 70S,ataru 70S,#5,#5,,,,#3,Sinking,ウォブリング,70,11,50,180,基本性能を極限まで高めた伝統的な王道シンキングシャッドataru 70S。まるでバイブレーションのようなタイトでピッチの早いウォブンロールはスローからファストまでバランスを保って機能します。ロングリップとは思えない飛行安定性で、汎用性も高く、ストラクチャーゲームからオープンエリアのミドルレンジサーチまで昼夜、魚種を問わず活躍してくれます。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/130,ブレードベイト,アデリー 4g,adelie 4g,#16,,,,,#1,Sinking,ブレードスピン,13,4,,,日中のライトゲームに特化した新発想のブレードルアー「adelie」。そのペンギンのような愛くるしい見た目とは裏腹に、緻密に設計された絶妙なバランスで、バイトしてきた魚を確実にフッキングへ繋げます。多彩な魚種を広範囲に誘い出せる万能ブレードルアーの誕生です。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/131,ブレードベイト,アデリー 8g,adelie 8g,#12,,,,,#1,Sinking,ブレードスピン,18,8,,,日中のライトゲームに特化した新発想のブレードルアー「adelie」。そのペンギンのような愛くるしい見た目とは裏腹に、緻密に設計された絶妙なバランスで、バイトしてきた魚を確実にフッキングへ。多彩な魚種を広範囲に誘い出せる万能ブレードルアーの誕生です。,TRUE
